Date,Beijing,Shanghai,Guangzhou
2014-01-01,86,168,122
2014-01-02,117,166,146
2014-01-03,80,182,179
2014-01-04,153,144,169
2014-01-05,119,64,153
2014-01-06,184,44,205
2014-01-07,143,63,133
2014-01-08,29,53,122
2014-01-09,43,52,66
2014-01-10,87,68,91
2014-01-11,143,61,133
2014-01-12,42,108,121
2014-01-13,110,72,60
2014-01-14,109,30,64
2014-01-15,148,43,91
2014-01-16,381,103,130
2014-01-17,211,126,145
2014-01-18,104,207,94
2014-01-19,177,158,135
2014-01-20,37,234,137
2014-01-21,51,72,101
2014-01-22,153,67,69
2014-01-23,169,54,79
2014-01-24,185,43,89
2014-01-25,40,133,97
2014-01-26,77,52,103
2014-01-27,128,34,123
2014-01-28,61,69,110
2014-01-29,155,79,134
2014-01-30,93,237,111
2014-01-31,184,180,158
2014-02-01,179,89,71
2014-02-02,105,230,66
2014-02-03,40,72,68
2014-02-04,50,39,73
2014-02-05,116,31,50
2014-02-06,158,25,41
2014-02-07,124,27,45
2014-02-08,102,58,32
2014-02-09,29,63,13
2014-02-10,35,38,41
2014-02-11,133,49,60
2014-02-12,150,36,71
2014-02-13,241,39,47
2014-02-14,311,58,65
2014-02-15,424,41,68
2014-02-16,339,31,89
2014-02-17,137,39,147
2014-02-18,95,36,59
2014-02-19,89,79,23
2014-02-20,208,197,38
2014-02-21,308,134,86
2014-02-22,313,77,94
2014-02-23,262,113,88
2014-02-24,309,111,76
2014-02-25,402,47,66
2014-02-26,330,70,84
2014-02-27,31,127,63
2014-02-28,106,108,62
2014-03-01,57,41,63
2014-03-02,175,72,41
2014-03-03,267,59,64
2014-03-04,88,37,70
2014-03-05,38,55,39
2014-03-06,36,44,85
2014-03-07,63,40,35
2014-03-08,191,47,50
2014-03-09,126,107,29
2014-03-10,108,201,49
2014-03-11,207,78,62
2014-03-12,36,40,167
2014-03-13,58,58,67
2014-03-14,62,106,75
2014-03-15,128,113,87
2014-03-16,151,94,121
2014-03-17,181,106,161
2014-03-18,86,181,101
2014-03-19,75,121,90
2014-03-20,37,88,103
2014-03-21,54,59,68
2014-03-22,82,65,74
2014-03-23,166,54,112
2014-03-25,241,84,84
2014-03-26,322,112,90
2014-03-27,294,58,68
2014-03-28,169,55,53
2014-03-29,72,90,61
2014-03-30,63,129,54
2014-03-31,172,81,42
2014-04-01,140,67,57
2014-04-02,131,63,52
2014-04-03,63,68,49
2014-04-04,91,74,81
2014-04-05,64,87,96
2014-04-06,97,50,87
2014-04-07,133,58,76
2014-04-08,224,87,85
2014-04-09,194,90,106
2014-04-10,271,85,67
2014-04-11,88,69,62
2014-04-12,131,79,62
2014-04-13,197,66,76
2014-04-14,284,83,77
2014-04-15,132,79,58
2014-04-16,83,63,65
2014-04-17,121,182,64
2014-04-18,181,98,60
2014-04-19,83,46,55
2014-04-20,82,53,81
2014-04-21,68,64,53
2014-04-22,80,74,57
2014-04-23,149,102,58
2014-04-24,152,78,74
2014-04-25,175,55,65
2014-04-26,65,41,50
2014-04-27,74,85,52
2014-04-28,84,76,58
2014-04-29,118,102,79
2014-04-30,139,84,54
2014-05-01,166,122,42
2014-05-02,48,118,50
2014-05-03,94,68,78
2014-05-04,55,71,64
2014-05-05,50,63,32
2014-05-06,99,69,45
2014-05-07,95,69,50
2014-05-08,102,103,57
2014-05-09,88,67,39
2014-05-10,72,57,36
2014-05-11,45,57,35
2014-05-12,60,116,65
2014-05-13,89,84,75
2014-05-14,55,102,40
2014-05-15,116,86,52
2014-05-16,92,86,54
2014-05-17,98,88,34
2014-05-18,112,57,42
2014-05-19,140,61,45
2014-05-20,121,92,56
2014-05-21,142,125,45
2014-05-22,191,114,36
2014-05-23,127,50,45
2014-05-24,101,45,44
2014-05-25,121,114,38
2014-05-26,65,165,47
2014-05-27,105,189,88
2014-05-28,80,151,63
2014-05-29,97,126,55
2014-05-30,140,133,47
2014-05-31,157,73,46
2014-06-01,88,47,38
2014-06-02,62,64,35
2014-06-03,75,61,39
2014-06-04,98,81,71
2014-06-05,111,57,36
2014-06-06,88,70,37
2014-06-07,37,83,71
2014-06-08,56,57,79
2014-06-09,58,48,83
2014-06-10,90,42,56
2014-06-11,69,44,67
2014-06-12,63,74,71
2014-06-13,100,121,106
2014-06-14,83,139,99
2014-06-15,149,74,92
2014-06-16,167,39,109
2014-06-17,120,56,38
2014-06-18,87,50,48
2014-06-19,158,58,39
2014-06-20,71,52,37
2014-06-21,100,47,36
2014-06-22,59,41,38
2014-06-23,64,51,35
2014-06-24,97,78,36
2014-06-25,134,43,43
2014-06-26,173,40,49
2014-06-27,47,36,58
2014-06-28,50,120,64
2014-06-29,84,130,51
2014-06-30,121,88,32
2014-07-01,124,60,37
2014-07-02,84,68,40
2014-07-03,238,112,45
2014-07-04,237,69,49
2014-07-05,167,52,52
2014-07-06,253,74,54
2014-07-07,210,68,72
2014-07-08,150,41,101
2014-07-09,59,45,103
2014-07-10,78,127,61
2014-07-11,60,169,34
2014-07-12,49,113,44
2014-07-13,49,59,37
2014-07-14,91,107,39
2014-07-15,111,57,43
2014-07-16,117,94,38
2014-07-17,173,46,50
2014-07-18,185,37,29
2014-07-19,116,43,34
2014-07-20,97,45,45
2014-07-21,51,38,70
2014-07-22,39,38,111
2014-07-23,63,41,101
2014-07-24,86,48,98
2014-07-25,109,61,72
2014-07-26,155,133,41
2014-07-27,160,74,34
2014-07-28,168,69,54
2014-07-29,164,74,85
2014-07-30,160,38,101
2014-07-31,244,33,98
2014-08-01,196,26,87
2014-08-02,164,34,107
2014-08-03,151,86,113
2014-08-04,50,115,73
2014-08-05,48,69,63
2014-08-06,59,55,53
2014-08-07,114,37,56
2014-08-08,96,41,61
2014-08-09,133,43,43
2014-08-10,78,72,45
2014-08-11,51,63,47
2014-08-12,70,56,44
2014-08-13,45,75,31
2014-08-14,61,45,40
2014-08-15,73,52,52
2014-08-16,97,58,50
2014-08-17,96,40,56
2014-08-18,88,59,51
2014-08-19,129,37,37
2014-08-20,143,39,28
2014-08-21,178,85,49
2014-08-22,71,53,49
2014-08-23,142,71,57
2014-08-24,46,95,43
2014-08-25,45,82,60
2014-08-26,64,101,64
2014-08-27,90,54,41
2014-08-28,104,55,34
2014-08-29,98,59,53
2014-08-30,170,39,66
2014-08-31,87,40,45
2014-09-01,126,51,45
2014-09-02,36,77,70
2014-09-03,36,61,64
2014-09-04,70,137,49
2014-09-05,120,120,73
2014-09-06,183,69,69
2014-09-07,196,58,58
2014-09-08,46,62,29
2014-09-09,75,53,43
2014-09-10,97,66,64
2014-09-11,109,55,62
2014-09-12,98,47,38
2014-09-13,93,42,39
2014-09-14,69,43,42
2014-09-15,45,41,53
2014-09-16,71,53,24
2014-09-17,75,45,36
2014-09-18,88,43,64
2014-09-19,102,57,102
2014-09-20,159,89,39
2014-09-21,134,50,47
2014-09-22,124,46,55
2014-09-23,66,27,61
2014-09-24,49,42,67
2014-09-25,139,71,81
2014-09-26,162,85,99
2014-09-27,51,65,52
2014-09-28,84,46,65
2014-09-29,78,79,72
2014-09-30,48,47,93
2014-10-01,91,48,74
2014-10-02,75,79,80
2014-10-03,119,84,62
2014-10-04,101,56,69
2014-10-05,48,59,78
2014-10-06,47,66,72
2014-10-07,179,62,83
2014-10-08,309,51,91
2014-10-09,380,52,79
2014-10-10,351,65,67
2014-10-11,233,59,67
2014-10-12,25,65,67
2014-10-13,29,70,66
2014-10-14,72,70,125
2014-10-15,81,129,118
2014-10-16,73,141,118
2014-10-17,127,52,107
2014-10-18,194,42,109
2014-10-19,289,50,105
2014-10-20,254,86,85
2014-10-21,67,95,73
2014-10-22,100,68,51
2014-10-23,154,63,53
2014-10-24,263,58,89
2014-10-25,341,55,119
2014-10-26,85,77,118
2014-10-27,50,73,100
2014-10-28,84,54,87
2014-10-29,138,52,81
2014-10-30,203,63,68
2014-10-31,201,80,88
2014-11-01,85,93,107
2014-11-02,29,78,70
2014-11-03,51,60,62
2014-11-04,126,62,85
2014-11-05,125,55,100
2014-11-06,34,174,62
2014-11-07,61,68,52
2014-11-08,91,40,19
2014-11-09,79,50,39
2014-11-10,92,87,33
2014-11-11,70,77,36
2014-11-12,42,176,25
2014-11-13,44,63,69
2014-11-14,54,71,69
2014-11-15,124,62,72
2014-11-16,105,88,76
2014-11-17,38,158,71
2014-11-18,78,84,76
2014-11-19,267,53,86
2014-11-20,342,50,96
2014-11-21,215,57,96
2014-11-22,50,99,99
2014-11-23,155,53,78
2014-11-24,103,41,61
2014-11-25,177,49,72
2014-11-26,279,64,96
2014-11-27,101,46,82
2014-11-28,113,81,80
2014-11-29,269,64,68
2014-11-30,209,55,55
2014-12-01,55,91,32
2014-12-02,25,65,83
2014-12-03,56,83,73
2014-12-04,33,109,22
2014-12-05,42,106,40
2014-12-06,82,117,57
2014-12-07,74,106,62
2014-12-08,78,89,53
2014-12-09,267,53,76
2014-12-10,185,80,91
2014-12-11,39,117,83
2014-12-12,41,99,62
2014-12-13,64,95,69
2014-12-14,108,116,79
2014-12-15,108,108,108
2014-12-16,33,134,75
2014-12-17,94,79,58
2014-12-18,186,71,63
2014-12-19,57,97,89
2014-12-20,22,84,76
2014-12-21,39,87,76
2014-12-22,94,104,83
2014-12-23,99,87,94
2014-12-24,31,168,101
2014-12-25,42,65,144
2014-12-26,154,39,112
2014-12-27,234,39,82
2014-12-28,160,93,55
2014-12-29,134,188,81
2014-12-30,52,174,107
2014-12-31,46,187,149
