name,date,AQIindex,PM2.5,PM10,CO,NO2,SO2
gz,1,26,37,27,1.163,27,13
gz,2,85,62,71,1.195,60,8
gz,3,78,38,74,1.363,37,7
gz,4,21,21,36,0.634,40,9
gz,5,41,42,46,0.915,81,13
gz,6,56,52,69,1.067,92,16
gz,7,64,30,28,0.924,51,2
gz,8,55,48,74,1.236,75,26
gz,9,76,85,113,1.237,114,27
gz,10,91,81,104,1.041,56,40
gz,11,84,39,60,0.964,25,11
gz,12,64,51,101,0.862,58,23
gz,13,70,69,120,1.198,65,36
gz,14,77,105,178,2.549,64,16
gz,15,109,68,87,0.996,74,29
gz,16,73,68,97,0.905,51,34
gz,17,54,27,47,0.592,53,12
gz,18,51,61,97,0.811,65,19
gz,19,91,71,121,1.374,43,18
gz,20,73,102,182,2.787,44,19
gz,21,73,50,76,0.717,31,20
gz,22,84,94,140,2.238,68,18
gz,23,93,77,104,1.165,53,7
gz,24,99,130,227,3.970,55,15
gz,25,146,84,139,1.094,40,17
gz,26,113,108,137,1.481,48,15
gz,27,81,48,62,1.619,26,3
gz,28,56,48,68,1.336,37,9
gz,29,82,92,174,3.290,0,13
gz,30,106,116,188,3.628,101,16
gz,31,118,50,0,1.383,76,11



bj,1,55,9,56,0.46,18,6
bj,2,25,11,21,0.65,34,9
bj,3,56,7,63,0.30,14,5
bj,4,33,7,29,0.33,16,6
bj,5,42,24,44,0.76,40,16
bj,6,82,58,90,1.77,68,33
bj,7,74,49,77,1.46,48,27
bj,8,78,55,80,1.29,59,29
bj,9,267,216,280,4.80,108,64
bj,10,185,127,216,2.52,61,27
bj,11,39,19,38,0.57,31,15
bj,12,41,11,40,0.43,21,7
bj,13,64,38,74,1.04,46,22
bj,14,108,79,120,1.70,75,41
bj,15,108,63,116,1.48,44,26
bj,16,33,6,29,0.34,13,5
bj,17,94,66,110,1.54,62,31
bj,18,186,142,192,3.88,93,79
bj,19,57,31,54,0.96,32,14
bj,20,22,8,17,0.48,23,10
bj,21,39,15,36,0.61,29,13
bj,22,94,69,114,2.08,73,39
bj,23,99,73,110,2.43,76,48
bj,24,31,12,30,0.50,32,16
bj,25,42,27,43,1.00,53,22
bj,26,154,117,157,3.05,92,58
bj,27,234,185,230,4.09,123,69
bj,28,160,120,186,2.77,91,50
bj,29,134,96,165,2.76,83,41
bj,30,52,24,60,1.03,50,21
bj,31,46,5,49,0.28,10,6


sh,1,91,45,125,0.82,34,23
sh,2,65,27,78,0.86,45,29
sh,3,83,60,84,1.09,73,27
sh,4,109,81,121,1.28,68,51
sh,5,106,77,114,1.07,55,51
sh,8,89,65,78,0.86,51,26
sh,9,53,33,47,0.64,50,17
sh,10,80,55,80,1.01,75,24
sh,11,117,81,124,1.03,45,24
sh,12,99,71,142,1.10,62,42
sh,13,95,69,130,1.28,74,50
sh,14,116,87,131,1.47,84,40
sh,15,108,80,121,1.30,85,37
sh,16,134,83,167,1.16,57,43
sh,17,79,43,107,1.05,59,37
sh,18,71,46,89,0.86,64,25
sh,19,97,71,113,1.17,88,31
sh,20,84,57,91,0.85,55,31
sh,21,87,63,101,0.90,56,41
sh,22,104,77,119,1.09,73,48
sh,23,87,62,100,1.00,72,28
sh,24,168,128,172,1.49,97,56
sh,25,65,45,51,0.74,39,17
sh,26,39,24,38,0.61,47,17
sh,27,39,24,39,0.59,50,19
sh,28,93,68,96,1.05,79,29
sh,29,188,143,197,1.66,99,51
sh,30,174,131,174,1.55,108,50,
sh,31,187,143,201,1.39,89,53


